和弦标记,名称,优先级,音程,度数,组成音数,音程结构,记号,音高集合
M6#11,-,0,"0,4,7,9,18","1P,3M,5P,6M,11A",5,Major,"M6#11,M6b5,6#11,6b5",2228
7b6,-,0,"0,4,7,8,10","1P,3M,5P,6m,7m",5,Major,7b6,2202
7add6,-,0,"0,4,7,10,21","1P,3M,5P,7m,13M",5,Major,"7add6,67,7add13",2198
mM9,minor/major ninth,0,"0,3,7,11,14","1P,3m,5P,7M,9M",5,Minor,"mM9,mMaj9,-^9",2833
m9,minor ninth,0,"0,3,7,10,14","1P,3m,5P,7m,9M",5,Minor,"m9,-9",2834
m69,-,0,"0,3,7,9,14","1P,3m,5P,6M,9M",5,Minor,"m69,-69",2836
m9#5,-,0,"0,3,8,10,14","1P,3m,6m,7m,9M",5,Minor,m9#5,2826
m7add11,-,0,"0,3,7,10,17","1P,3m,5P,7m,11P",5,Minor,"m7add11,m7add4",2386
mMaj7b6,-,0,"0,3,7,8,11","1P,3m,5P,6m,7M",5,Minor,mMaj7b6,2329
7#5b9,-,0,"0,4,8,10,13","1P,3M,5A,7m,9m",5,Augmented,"7#5b9,7b9#5",3210
9#5,-,0,"0,4,8,10,14","1P,3M,5A,7m,9M",5,Augmented,"9#5,9+",2698
maj9#5,-,0,"0,4,8,11,14","1P,3M,5A,7M,9M",5,Augmented,"maj9#5,Maj9#5",2697
M9#5sus4,-,0,"0,5,8,11,14","1P,4P,5A,7M,9M",5,Augmented,M9#5sus4,2633
7#5#9,-,0,"0,4,8,10,15","1P,3M,5A,7m,9A",5,Augmented,"7#5#9,7#9#5,7alt",2442
m9b5,-,0,"0,2,3,6,10","1P,2M,3m,5d,7m",5,Diminished,m9b5,2850
o7M7,-,0,"0,3,6,9,11","1P,3m,5d,6M,7M",5,Diminished,o7M7,2341
b9sus,suspended fourth flat ninth,0,"0,5,7,10,13","1P,4P,5P,7m,9m",5,Unknown,"b9sus,phryg,7b9sus,7b9sus4",3154
11b9,-,0,"0,7,10,13,17","1P,5P,7m,9m,11P",5,Unknown,11b9,3154
9sus4,-,0,"0,5,7,10,14","1P,4P,5P,7m,9M",5,Unknown,"9sus4,9sus",2642
M9sus4,-,0,"0,5,7,11,14","1P,4P,5P,7M,9M",5,Unknown,M9sus4,2641
maj9#11,major sharp eleventh (lydian),0,"0,4,7,11,14,18","1P,3M,5P,7M,9M,11A",6,Major,"maj9#11,Δ9#11,^9#11",2737
13,dominant thirteenth,0,"0,4,7,10,14,21","1P,3M,5P,7m,9M,13M",6,Major,13,2710
7b9#9,-,0,"0,4,7,10,13,15","1P,3M,5P,7m,9m,9A",6,Major,7b9#9,3474
7b9#11,-,0,"0,4,7,10,13,18","1P,3M,5P,7m,9m,11A",6,Major,"7b9#11,7b5b9,7b9b5",3250
7b9b13,-,0,"0,4,7,10,13,20","1P,3M,5P,7m,9m,13m",6,Major,7b9b13,3226
13b9,-,0,"0,4,7,10,13,21","1P,3M,5P,7m,9m,13M",6,Major,13b9,3222
9#11,-,0,"0,4,7,10,14,18","1P,3M,5P,7m,9M,11A",6,Major,"9#11,9+4,9#4",2738
69#11,-,0,"0,4,7,9,14,18","1P,3M,5P,6M,9M,11A",6,Major,69#11,2740
13b5,-,0,"0,4,6,9,10,14","1P,3M,5d,6M,7m,9M",6,Major,13b5,2726
M7add13,-,0,"0,4,7,9,11,14","1P,3M,5P,6M,7M,9M",6,Major,M7add13,2709
7#9#11,-,0,"0,4,7,10,15,18","1P,3M,5P,7m,9A,11A",6,Major,"7#9#11,7b5#9,7#9b5",2482
maj7#9#11,-,0,"0,4,7,11,15,18","1P,3M,5P,7M,9A,11A",6,Major,maj7#9#11,2481
7#9b13,-,0,"0,4,7,10,15,20","1P,3M,5P,7m,9A,13m",6,Major,7#9b13,2458
13#9,-,0,"0,4,7,10,15,21","1P,3M,5P,7m,9A,13M",6,Major,13#9,2454
7#11b13,-,0,"0,4,7,10,18,20","1P,3M,5P,7m,11A,13m",6,Major,"7#11b13,7b5b13",2234
m13,minor thirteenth,0,"0,3,7,10,14,21","1P,3m,5P,7m,9M,13M",6,Minor,"m13,-13",2838
m11,minor eleventh,0,"0,3,7,10,14,17","1P,3m,5P,7m,9M,11P",6,Minor,"m11,-11",2898
mMaj9b6,-,0,"0,3,7,8,11,14","1P,3m,5P,6m,7M,9M",6,Minor,mMaj9b6,2841
7#5b9#11,-,0,"0,4,8,10,13,18","1P,3M,5A,7m,9m,11A",6,Augmented,7#5b9#11,3242
m11A,-,0,"0,3,8,10,14,17","1P,3m,5A,7m,9M,11P",6,Augmented,m11A,2890
9#5#11,-,0,"0,4,8,10,14,18","1P,3M,5A,7m,9M,11A",6,Augmented,9#5#11,2730
7sus4b9b13,-,0,"0,5,7,10,13,20","1P,4P,5P,7m,9m,13m",6,Unknown,"7sus4b9b13,7b9b13sus4",3162
13sus4,-,0,"0,5,7,10,14,21","1P,4P,5P,7m,9M,13M",6,Unknown,"13sus4,13sus",2646
7b9b13#11,-,0,"0,4,7,10,13,18,20","1P,3M,5P,7m,9m,11A,13m",7,Major,"7b9b13#11,7b9#11b13,7b5b9b13",3258
13b9#11,-,0,"0,4,7,10,13,18,21","1P,3M,5P,7m,9m,11A,13M",7,Major,13b9#11,3254
9#11b13,-,0,"0,4,7,10,14,18,20","1P,3M,5P,7m,9M,11A,13m",7,Major,"9#11b13,9b5b13",2746
13#11,-,0,"0,4,7,10,14,18,21","1P,3M,5P,7m,9M,11A,13M",7,Major,"13#11,13+4,13#4",2742
M13#11,-,0,"0,4,7,11,14,18,21","1P,3M,5P,7M,9M,11A,13M",7,Major,"M13#11,maj13#11,M13+4,M13#4",2741
7#9#11b13,-,0,"0,4,7,10,15,18,20","1P,3M,5P,7m,9A,11A,13m",7,Major,7#9#11b13,2490
13#9#11,-,0,"0,4,7,10,15,18,21","1P,3M,5P,7m,9A,11A,13M",7,Major,13#9#11,2486
